Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,467381,-,-,-,39.73,-105.14,-7,1746,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DNI,Temperature,Wind Speed
2015,1,1,11,0,0,-4.013983154296852,1.6686934232711792
2015,1,1,11,30,0,-4.045385742187477,1.786266803741455
2015,1,1,12,0,26,-4.076757812499977,1.9038400650024414
2015,1,1,12,30,0,-4.255194091796852,2.027425765991211
2015,1,1,13,0,0,-4.433630371093727,2.1510114669799805
2015,1,1,13,30,0,-4.898992919921852,2.2353076934814453
2015,1,1,14,0,0,-5.364355468749977,2.31960391998291
2015,1,1,14,30,0,-5.937017822265602,2.359452247619629
2015,1,1,15,0,0,-6.509680175781227,2.3993003368377686
2015,1,1,15,30,0,-7.003118896484352,2.3297667503356934
2015,1,1,16,0,0,-7.496557617187477,2.2602334022521973
2015,1,1,16,30,0,-7.707617187499977,2.2004141807556152
2015,1,1,17,0,0,-7.918676757812477,2.140594720840454
2015,1,1,17,30,0,-8.102911376953102,2.249373435974121
2015,1,1,18,0,0,-8.287145996093727,2.358151912689209
2015,1,1,18,30,0,-8.430487060546852,2.480379343032837
2015,1,1,19,0,0,-8.573828124999977,2.602606773376465
2015,1,1,19,30,0,-8.593695068359352,2.627807140350342
2015,1,1,20,0,0,-8.613531494140602,2.653007745742798
2015,1,1,20,30,0,-8.622625732421852,2.662816047668457
2015,1,1,21,0,0,-8.631719970703102,2.6726245880126953
2015,1,1,21,30,0,-8.692785644531227,2.674260377883911
2015,1,1,22,0,0,-8.753851318359352,2.675896167755127
2015,1,1,22,30,0,-8.783117675781227,2.660823345184326
2015,1,1,23,0,0,-8.812414550781227,2.6457507610321045
2015,1,1,23,30,0,-8.843481445312477,2.6301016807556152
2015,1,2,0,0,0,-8.874548339843727,2.614452600479126
2015,1,2,0,30,0,-9.009252929687477,2.607192277908325
2015,1,2,1,0,0,-9.143957519531227,2.5999319553375244
2015,1,2,1,30,0,-9.362402343749977,2.62056303024292
2015,1,2,2,0,0,-9.580847167968727,2.6411938667297363
2015,1,2,2,30,0,-9.732977294921852,2.6519410610198975
2015,1,2,3,0,0,-9.885137939453102,2.6626882553100586
2015,1,2,3,30,0,-9.991644287109352,2.6766304969787598
2015,1,2,4,0,0,-10.098181152343727,2.69057297706604
2015,1,2,4,30,0,-10.180761718749977,2.6858253479003906
2015,1,2,5,0,0,-10.263311767578102,2.681077718734741
2015,1,2,5,30,0,-10.291418457031227,2.633875608444214
2015,1,2,6,0,0,-10.319525146484352,2.5866734981536865
2015,1,2,6,30,0,-10.129461669921852,2.488595962524414
2015,1,2,7,0,0,-9.939398193359352,2.3905186653137207
2015,1,2,7,30,0,-8.465155029296852,2.2197611331939697
2015,1,2,8,0,548,-6.990942382812477,2.0490036010742188
2015,1,2,8,30,716,-5.679968261718727,1.8308236598968506
2015,1,2,9,0,0,-4.368994140624977,1.6126435995101929
2015,1,2,9,30,0,-3.0223449707031023,1.416779637336731
2015,1,2,10,0,239,-1.6756958007812273,1.220915675163269
2015,1,2,10,30,946,-0.9614318847656023,1.2748616933822632
2015,1,2,11,0,965,-0.24719848632810226,1.3288077116012573
2015,1,2,11,30,976,0.16542968750002274,1.5348238945007324
2015,1,2,12,0,980,0.5780273437500227,1.740839958190918
2015,1,2,12,30,978,0.8146911621093977,1.926449179649353
2015,1,2,13,0,970,1.0513549804687727,2.112058401107788
2015,1,2,13,30,955,0.9702087402343977,2.150419235229492
2015,1,2,14,0,932,0.8890625000000227,2.188779830932617
2015,1,2,14,30,896,0.13759765625002274,2.0509541034698486
2015,1,2,15,0,843,-0.6138671874999773,1.9131282567977905
2015,1,2,15,30,760,-2.3215698242187273,1.916787028312683
2015,1,2,16,0,621,-4.029272460937477,1.9204457998275757
2015,1,2,16,30,354,-4.771215820312477,2.0731208324432373
2015,1,2,17,0,0,-5.513159179687477,2.2257959842681885
2015,1,2,17,30,0,-5.846899414062477,2.4160163402557373
