time,power_RightAway_kW,power_Midnight_kW,power_TCIN_kW
24400,64714.3,63648.4,167488
24401,64714.3,63648.4,167488
24402,64714.3,63648.4,167488
24403,64714.3,63648.4,167488
24404,64714.3,63648.4,167488
24405,64714.3,63648.4,167488
24406,64714.3,63648.4,167488
24407,64714.3,63648.4,167488
24408,64714.3,63648.4,167488
24409,64714.3,63648.4,167488
24410,64714.3,63648.4,167488
24411,64714.3,63648.4,167488
24412,64714.3,63648.4,167488
24413,64714.3,63648.4,167488
24414,64714.3,63648.4,167488
24415,64714.3,63648.4,167488
24416,64714.3,63648.4,167488
24417,64714.3,63648.4,167488
24418,64714.3,63648.4,167488
24419,64714.3,63648.4,167488
24420,64714.3,63648.4,167488
24421,64714.3,63648.4,167488
24422,64714.3,63648.4,167488
24423,64714.3,63648.4,167488
24424,64714.3,63648.4,167488
24425,64714.3,63648.4,167488
24426,64714.3,63648.4,167488
24427,64714.3,63648.4,167488
24428,64714.3,63648.4,167488
24429,64714.3,63648.4,167488
24430,64714.3,63648.4,167488
24431,64714.3,63648.4,167488
24432,64714.3,63648.4,167488
24433,64714.3,63648.4,167488
24434,64714.3,63648.4,167488
24435,64714.3,63648.4,167488
24436,64714.3,63648.4,167488
24437,64714.3,63648.4,167488
24438,64714.3,63648.4,167488
24439,64714.3,63648.4,167488
24440,64714.3,63648.4,167488
24441,64714.3,63648.4,167488
24442,64714.3,63648.4,167488
24443,64714.3,63648.4,167488
24444,64714.3,63648.4,167488
24445,64714.3,63648.4,167488
24446,64714.3,63648.4,167488
24447,64714.3,63648.4,167488
24448,64714.3,63648.4,167488
24449,64714.3,63648.4,167488
24450,64714.3,63648.4,167488
24451,64714.3,63648.4,167488
24452,64714.3,63648.4,167488
24453,64714.3,63648.4,167488
24454,64714.3,63648.4,167488
24455,64714.3,63648.4,167488
24456,64714.3,63648.4,167488
24457,64714.3,63648.4,167488
24458,64714.3,63648.4,167488
24459,64714.3,63648.4,167488
24460,64714.3,63648.4,167488
24461,64714.3,63648.4,167488
24462,64714.3,63648.4,167488
24463,64714.3,63648.4,167488
24464,64714.3,63648.4,167488
24465,64714.3,63648.4,167488
24466,64714.3,63648.4,167488
24467,64714.3,63648.4,167488
24468,64714.3,63648.4,167488
24469,64714.3,63648.4,167488
24470,64714.3,63648.4,167488
24471,64714.3,63648.4,167488
24472,64714.3,63648.4,167488
24473,64714.3,63648.4,167488
24474,64714.3,63648.4,167488
24475,64714.3,63648.4,167488
24476,64714.3,63648.4,167488
24477,64714.3,63648.4,167488
24478,64714.3,63648.4,167488
24479,64714.3,63648.4,167488
24480,64714.3,63648.4,167488
24481,64714.3,63648.4,167488
24482,64714.3,63648.4,167488
24483,64714.3,63648.4,167488
24484,64714.3,63648.4,167488
24485,64714.3,63648.4,167488
24486,64714.3,63648.4,167488
24487,64714.3,63648.4,167488
24488,64714.3,63648.4,167488
24489,64714.3,63648.4,167488
24490,64714.3,63648.4,167488
24491,64714.3,63648.4,167488
24492,64714.3,63648.4,167488
24493,64714.3,63648.4,167488
24494,64714.3,63648.4,167488
24495,64714.3,63648.4,167488
24496,64714.3,63648.4,167488
24497,64714.3,63648.4,167488
24498,64714.3,63648.4,167488
24499,64714.3,63648.4,167488
24500,64714.3,63648.4,167488
24501,64714.3,63648.4,167488
24502,64714.3,63648.4,167488
24503,64714.3,63648.4,167488
24504,64714.3,63648.4,167488
24505,64714.3,63648.4,167488
24506,64714.3,63648.4,167488
24507,64714.3,63648.4,167488
24508,64714.3,63648.4,167488
24509,64714.3,63648.4,167488
24510,64714.3,63648.4,167488
24511,64714.3,63648.4,167488
24512,64714.3,63648.4,167488
24513,64714.3,63648.4,167488
24514,64714.3,63648.4,167488
24515,64714.3,63648.4,167488
