Hours since 00:00 Jan 1,My Design - Living Space: Indoor Temperature (F),My Design - Living Space: Indoor Relative Humidity (%),My Design - Garage: Indoor Temperature (F),My Design - Garage: Indoor Relative Humidity (%),My Design - Unfinished Basement: Indoor Temperature (F),My Design - Unfinished Basement: Indoor Relative Humidity (%),My Design - Unfinished Attic: Indoor Temperature (F),My Design - Unfinished Attic: Indoor Relative Humidity (%),My Design - Domestic Water System: Water Heater Inlet Temperature (F)
5171.5,75.998,40.6976,89.1647,29.8469,70.4978,47.4025,96.9394,23.4934,67.3776
5172.5,75.9985,40.6855,92.2059,27.1734,70.5284,47.3947,101.284,20.7833,67.3776
5173.5,75.9988,40.7909,95.999,24.3162,70.5631,47.5215,108.404,17.4803,67.3776
5174.5,75.9977,40.671,99.4457,21.9075,70.4405,47.6978,113.284,15.1625,67.3776
5175.5,75.9985,40.4875,100.572,21.1652,70.3892,47.7509,113.151,14.894,67.3776
5176.5,75.9981,40.3106,100.324,21.3357,70.2392,47.9746,112.314,15.1754,67.3776
5177.5,75.9983,39.9362,99.7503,21.5845,70.0911,47.8927,109.476,16.2186,67.3776
5178.5,75.9991,39.8884,95.3531,24.7118,70.0987,47.8665,100.189,21.3742,67.3776
5179.5,75.9986,39.9296,91.5133,27.9141,70.1152,47.9356,92.3468,27.6532,67.3776
5180.5,76.1516,39.8627,88.5374,30.6806,70.0885,47.9225,87.2812,33.1894,67.3776
5181.5,75.9985,39.9328,85.9792,33.3176,70.2217,47.6873,82.693,39.0216,67.3776
5182.5,75.9971,39.8079,84.3065,35.1674,70.3301,47.4582,79.4272,43.6332,67.3776
5183.5,75.9975,39.7973,82.9917,36.7192,70.5086,47.1294,77.3575,46.6691,67.3776
5184.5,75.9979,39.9627,82.083,37.8896,70.7196,46.7931,76.1887,48.6369,67.3776
5185.5,75.9986,41.0632,81.4785,38.6338,70.971,46.3658,75.3213,49.2975,67.3776
5186.5,75.8627,42.1102,80.7123,39.5419,71.4391,45.6156,73.9401,49.9778,67.3776
5187.5,74.8133,44.4457,79.5937,40.9564,72.0411,44.7229,72.1347,51.84,67.3776
5188.5,74.2649,46.1205,78.5835,42.294,72.0716,44.7173,70.5471,54.2134,67.3776
5189.5,74.2018,46.6549,77.6781,43.4849,72.034,44.7551,69.1774,56.6157,67.3884
5190.5,74.2272,47.0632,77.0154,44.5028,72.0228,44.896,68.5114,57.9885,67.3918
5191.5,75.242,46.1093,77.181,44.4009,72.0656,45.0233,71.0247,53.6836,67.402
5192.5,75.9989,45.4063,79.1779,41.7043,71.4197,46.1783,79.1798,41.6122,67.4024
5193.5,75.999,45.2,83.3189,36.5487,70.913,47.0895,91.3129,28.2354,67.4024
5194.5,75.9988,44.8112,89.7905,29.7628,70.6625,47.5603,104.035,18.6572,67.4024
5195.5,75.9982,44.1398,94.9555,25.1612,70.6341,47.3829,111.311,14.2156,67.4024
5196.5,75.9981,43.6588,98.2955,22.6457,70.5932,47.5215,113.228,12.6671,67.4024
5197.5,75.9974,43.2622,100.076,21.4461,70.4836,47.8628,113.629,12.344,67.4024
5198.5,75.9976,42.7011,101.791,20.2846,70.4009,47.9575,114.817,11.8168,67.4024
5199.5,75.9975,42.1851,103.424,19.2438,70.3827,47.9305,116.371,11.1871,67.4024
5200.5,76.0096,41.6687,104.505,18.5618,70.2428,48.0774,116.78,10.8322,67.4024
5201.5,76.5886,40.1934,104.149,18.5782,70.1607,47.8437,114.434,11.2814,67.4024
5202.5,76.6843,39.7995,102.389,19.5535,70.1399,47.857,109.459,12.9441,67.4024
5203.5,76.3055,40.1344,98.3627,22.1113,70.0727,48.0111,100.765,17.5873,67.4024
5204.5,75.9987,40.3061,93.0341,26.0331,70.0278,48.009,89.9362,25.6688,67.4024
5205.5,75.998,40.0806,88.7919,29.6476,70.1258,47.7853,83.6445,31.5648,67.4024
5206.5,75.9978,39.7901,86.8604,31.4148,70.2916,47.3789,80.7951,34.6131,67.4024
5207.5,76.0828,39.3577,85.3751,32.7794,70.4413,46.9023,78.1707,37.8457,67.4024
5208.5,75.9993,39.6429,83.887,34.3188,70.728,46.3763,75.6533,41.2717,67.4024
5209.5,75.9982,40.2203,82.4135,35.9649,71.3095,45.5131,73.7636,44.2908,67.4024
5210.5,75.9984,40.1709,81.3631,37.1063,71.1467,45.7304,72.8871,45.2448,67.4239
5211.5,75.9987,40.1412,80.698,37.808,71.2996,45.4665,72.1659,46.0147,67.4243
5212.5,75.9988,40.1393,80.1824,38.364,71.4045,45.2855,70.9647,47.8285,67.4243
