ts,V_ideal,V_age,ne_ideal,ne_age,Soc_ideal,Soc_age,Lka_H2,nch,P_togrid,P_service,f
2019-04-29 02:36:40.447258,1.692827488172887,1.6928284992839981,0.8755117991692165,0.8755112762339585,21.099999999999998,21.099999999999998,1.7813205610758468e-05,65.15213589994676,-106.13846114949709,-106.13846114949709,59.993
2019-04-29 02:36:41.447258,1.6928233764667797,1.6928244264667798,0.8755139257036569,0.8755133826528788,21.099999999999998,21.099999999999998,1.849869563692367e-05,65.15204134441815,-106.13437559601958,-106.13437559601958,59.973
2019-04-29 02:36:42.447258,1.6928192704647442,1.692820359353633,0.8755160492983157,0.8755154861318268,21.099999999999998,21.099999999999998,1.918421280827218e-05,65.15194670310947,-106.13029617298692,-106.13029617298692,59.971
2019-04-29 02:36:43.447258,1.6928151701673224,1.6928162979451002,0.8755181699528697,0.8755175866704797,21.099999999999998,21.099999999999998,1.986975712264668e-05,65.1518519760155,-106.1262228804713,-106.1262228804713,59.988
2019-04-29 02:36:44.447258,1.6928110755648014,1.692812242231468,0.8755202876722996,0.8755196842738187,21.099999999999998,21.099999999999998,2.055532857789165e-05,65.15175716330765,-106.12215570768565,-106.12215570768565,59.975
2019-04-29 02:36:45.447258,1.6928069866577204,1.692808192213276,0.8755224024562839,0.8755217789415223,21.099999999999998,21.099999999999998,2.1240927171853355e-05,65.15166226498071,-106.11809465470206,-106.11809465470206,59.982
2019-04-29 02:36:46.447258,1.69280290342611,1.6928041478705544,0.8755245143151081,0.8755238706838769,21.099999999999998,21.099999999999998,2.1926552902379845e-05,65.15156728138264,-106.11403969987393,-106.11403969987393,59.986
2019-04-29 02:36:47.447258,1.6927988258705058,1.6928001092038392,0.875526623248453,0.8755259595005634,21.099999999999998,21.099999999999998,2.2612205767320957e-05,65.15147221250828,-106.10999084327305,-106.10999084327305,59.98
2019-04-29 02:36:48.447258,1.6927947539914427,1.692796076213665,0.8755287292559993,0.8755280453912632,21.099999999999998,21.099999999999998,2.3297885764528308e-05,65.15137705835244,-106.10594808497113,-106.10594808497113,59.986
2019-04-29 02:36:49.447258,1.6927906877689456,1.6927920488800567,0.8755308323480364,0.8755301283662656,21.099999999999998,21.099999999999998,2.3983592891855295e-05,65.15128181926306,-106.10191140332121,-106.10191140332121,59.987
2019-04-29 02:36:50.447258,1.6927866271932903,1.6927880271932902,0.8755329325295513,0.8755322084305586,21.099999999999998,21.099999999999998,2.4669327147157092e-05,65.15118649541152,-106.09788078753525,-106.09788078753525,59.983
2019-04-29 02:36:51.447258,1.6927825722855192,1.6927840111744081,0.875535029789619,0.8755342855732169,21.099999999999998,21.099999999999998,2.535508852829065e-05,65.15109108643951,-106.09385625940361,-106.09385625940361,59.988
2019-04-29 02:36:52.447258,1.692778523005139,1.6927800007829168,0.875537124149141,0.875536359815143,21.099999999999998,21.099999999999998,2.6040877033114693e-05,65.1509955930481,-106.08983777555981,-106.08983777555981,59.986
2019-04-29 02:36:53.447258,1.6927744793731898,1.6927759960398565,0.8755392155971933,0.8755384311454131,21.099999999999998,21.099999999999998,2.6726692659489713e-05,65.15090001487894,-106.08582535779406,-106.08582535779406,59.982
2019-04-29 02:36:54.447258,1.6927704413594293,1.6927719969149848,0.8755413041493761,0.8755404995796278,21.099999999999998,21.099999999999998,2.741253540527798e-05,65.15080435245655,-106.08181897359896,-106.08181897359896,59.986
2019-04-29 02:36:55.447258,1.6927664089746397,1.6927680034190842,0.8755433898000713,0.875542565112169,21.099999999999998,21.099999999999998,2.8098405268343516e-05,65.15070860559919,-106.077818633905,-106.077818633905,59.984
2019-04-29 02:36:56.447258,1.692762382209088,1.6927640155424213,0.8755454725542712,0.8755446277480301,21.099999999999998,21.099999999999998,2.878430224655212e-05,65.1506127744782,-106.0738243279236,-106.0738243279236,59.985
2019-04-29 02:36:57.447258,1.6927583610530403,1.6927600332752626,0.8755475524169692,0.8755466874922044,21.099999999999998,21.099999999999998,2.9470226337771354e-05,65.15051685926493,-106.06983604486608,-106.06983604486608,59.985
2019-04-29 02:36:58.447258,1.6927543455070182,1.6927560566181292,0.8755496293878544,0.8755487443443816,21.099999999999998,21.099999999999998,3.0156177539870535e-05,65.15042085995418,-106.06585378480308,-106.06585378480308,59.982
2019-04-29 02:36:59.447258,1.6927503355510258,1.6927520855510259,0.875551703477228,0.8755507983148629,21.099999999999998,21.099999999999998,3.084215585072074e-05,65.15032477689391,-106.06187752608601,-106.06187752608602,59.983
2019-04-29 02:37:00.447258,1.692746331185582,1.6927481200744707,0.8755537746847806,0.87555284940334,21.099999999999998,21.099999999999998,3.1528161268194796e-05,65.15022861007888,-106.05790726878536,-106.05790726878536,59.987
2019-04-29 02:37:01.447258,1.692742332411204,1.6927441601889819,0.8755558430102035,0.875554897609504,21.099999999999998,21.099999999999998,3.2214193790167304e-05,65.15013235950391,-106.05394301297153,-106.05394301297153,59.984
2019-04-29 02:37:02.447258,1.69273833921815,1.6927402058848167,0.875557908458495,0.875556942938354,21.099999999999998,21.099999999999998,3.290025341451459e-05,65.15003602534033,-106.0499847478552,-106.0499847478552,59.983
2019-04-29 02:37:03.447258,1.6927343515864164,1.692736257141972,0.875559971039961,0.8755589854001958,21.099999999999998,21.099999999999998,3.358634013911476e-05,65.14993960793602,-106.04603245178704,-106.04603245178704,59.985
2019-04-29 02:37:04.447258,1.692730369526776,1.6927323139712203,0.8755620307489886,0.8755610249894173,21.099999999999998,21.099999999999998,3.427245396184764e-05,65.14984310710929,-106.04208613569702,-106.04208613569702,59.98
2019-04-29 02:37:05.447258,1.6927263930192211,1.6927283763525545,0.8755640875958862,0.8755630617163271,21.099999999999998,21.099999999999998,3.4958594880594816e-05,65.14974652320798,-106.0381457779354,-106.0381457779354,59.98
2019-04-29 02:37:06.447258,1.6927224220745236,1.6927244442967457,0.8755661415750418,0.8755650955753137,21.099999999999998,21.099999999999998,3.5644762893239615e-05,65.1496498560504,-106.03421138943207,-106.03421138943207,59.985
2019-04-29 02:37:07.447258,1.6927184566624116,1.6927205177735227,0.8755681927020729,0.8755671265819949,21.099999999999998,21.099999999999998,3.63309579976671e-05,65.14955310616082,-106.03028293767726,-106.03028293767726,59.979
2019-04-29 02:37:08.447258,1.692714496803915,1.6927165968039148,0.8755702409660618,0.8755691547254534,21.099999999999998,21.099999999999998,3.7017180191764086e-05,65.14945627318117,-106.0263604444605,-106.0263604444605,59.981
2019-04-29 02:37:09.447258,1.6927105424687579,1.6927126813576467,0.8755722863826286,0.8755711800213096,21.099999999999998,21.099999999999998,3.7703429473419116e-05,65.14935935763572,-106.02244387727158,-106.02244387727158,59.978
2019-04-29 02:37:10.447258,1.6927065936677073,1.692708771445485,0.875574328946164,0.8755732024639549,21.099999999999998,21.099999999999998,3.838970584052247e-05,65.14926235934276,-106.01853324704008,-106.01853324704008,59.977
2019-04-29 02:37:11.447258,1.6927026503807445,1.6927048670474112,0.875576368666983,0.8755752220637042,21.099999999999998,21.099999999999998,3.9076009290966166e-05,65.14916527865014,-106.01462853211538,-106.01462853211538,59.978
2019-04-29 02:37:12.447258,1.6926987126083728,1.6927009681639285,0.8755784055447854,0.875577238820258,21.099999999999998,21.099999999999998,3.976233982264394e-05,65.14906811555267,-106.01072973256693,-106.01072973256693,59.977
2019-04-29 02:37:13.447258,1.6926947803510943,1.6926970747955388,0.8755804395792717,0.8755792527333173,21.099999999999998,21.2,4.044869743345126e-05,65.14897087004516,-106.00683684846392,-106.00683684846392,59.978
2019-04-29 02:37:14.447258,1.6926908535888845,1.692693186922218,0.8755824707807605,0.8755812638132007,21.2,21.2,4.1135082121285336e-05,65.14887354247541,-106.00294985815539,-106.00294985815539,59.977
2019-04-29 02:37:15.447258,1.6926869323222427,1.6926893045444649,0.8755844991489538,0.875583272059611,21.2,21.2,4.182149388404509e-05,65.14877613283825,-105.99906876171038,-105.99906876171038,59.978
2019-04-29 02:37:16.447258,1.6926830165414037,1.692685427652515,0.8755865246888636,0.8755852774775601,21.2,21.2,4.250793271963116e-05,65.14867864130498,-105.99519354833768,-105.99519354833768,59.978
2019-04-29 02:37:17.447258,1.6926791062468647,1.6926815562468647,0.8755885474001934,0.8755872800667525,21.2,21.2,4.319439862594593e-05,65.14858106787042,-105.99132421810623,-105.99132421810623,59.979
2019-04-29 02:37:18.447258,1.6926752014288575,1.6926776903177465,0.8755905672879568,0.8755892798322015,21.2,21.2,4.388089160089348e-05,65.14848341270583,-105.98746076022455,-105.98746076022455,60.003
2019-04-29 02:37:19.447258,1.692671302077612,1.6926738298553898,0.8755925843571686,0.8755912767789228,21.2,21.2,4.45674116423796e-05,65.14838567598254,-105.98360316390111,-105.50693649723462,59.953
2019-04-29 02:37:20.447258,1.692667408193622,1.6926699748602887,0.8755945986075343,0.8755932709066221,21.2,21.2,4.525395874831182e-05,65.14828785769538,-105.97975142920451,-105.97975142920451,59.967
2019-04-29 02:37:21.447258,1.692663519756849,1.6926661253124045,0.8755966100493807,0.8755952622256264,21.2,21.2,4.594053291659936e-05,65.14818995819208,-105.97590553448259,-101.59923886781596,59.863
2019-04-29 02:37:22.447258,1.6926596367780489,1.6926622812224934,0.875598618677105,0.8755972507303336,21.2,21.2,4.662713414515316e-05,65.14809197729102,-105.9720654906641,-103.32873215733076,59.903
2019-04-29 02:37:23.447258,1.69265575923718,1.6926584425705133,0.8756006245010359,0.8755992364310725,21.2,21.2,4.7313762431885874e-05,65.14799391533992,-105.96823127609659,-102.45823127609675,59.883
2019-04-29 02:37:24.447258,1.692651887144997,1.6926546093672192,0.8756026275155715,0.8756012193222417,21.2,21.2,4.800041777471184e-05,65.14789577215716,-105.96440290170872,-98.64106956837553,59.795
2019-04-29 02:37:25.447258,1.692648020471188,1.692650781582299,0.8756046277363533,0.8756031994194832,21.2,21.2,4.8687100171547127e-05,65.14779754826694,-105.96058033498737,-99.24391366832066,59.809
2019-04-29 02:37:26.447258,1.6926441592265047,1.6926469592265048,0.8756066251577812,0.8756051767171971,21.2,21.2,4.9373809620309484e-05,65.14769924348758,-105.95676358686084,-98.41676358686087,59.79
