,performance_score,hourly_integrated_MW,mileage_ratio,Regulation_Market_Clearing_Price(RMCP),Reg_Clearing_Price_Credit
2017-01-24 14:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10895033748220335,3.1228774290443857,"(4.530000000000001, 4.530000000000001, 0.0)","(0.4935450287943813, 0.4935450287943813, 0.0)"
2017-01-24 15:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.08732012018235134,8.488402103823294,"(0.13, 0.13, 0.0)","(0.011351615623705673, 0.011351615623705673, 0.0)"
2017-01-24 16:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14165918179112336,5.527168272276162,"(13.4, 12.88, 0.52)","(2.2317168117073676, 1.8245702614696686, 0.4071465502376989)"
2017-01-24 17:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14131283956669555,7.069738154387395,"(5.96, 5.96, 0.0)","(0.8422245238175053, 0.8422245238175053, 0.0)"
2017-01-24 18:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13564445411366216,11.4962782577557,"(9.36, 9.36, 0.0)","(1.2696320905038776, 1.2696320905038776, 0.0)"
2017-01-24 19:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14736901505428965,6.084104174095964,"(7.03, 7.03, 0.0)","(1.036004175831656, 1.036004175831656, 0.0)"
2017-01-24 20:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.1107686263682869,5.774012621245987,"(8.9, 8.33, 0.5700000000000001)","(1.2872629422603143, 0.9227026576478298, 0.36456028461248463)"
2017-01-24 21:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09462852158525746,7.448440931712334,"(10.69, 10.210000000000003, 0.48)","(1.3044779830573456, 0.9661572053854788, 0.33832077767186675)"
2017-01-24 22:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10978472505915986,4.90143531471373,"(9.49, 7.310000000000001, 2.18)","(1.9755902881404643, 0.8025263401824586, 1.1730639479580056)"
2017-01-24 23:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09565692617100376,7.985407383932823,"(8.34, 7.9, 0.44)","(1.0917879075618395, 0.7556897167509296, 0.3360981908109101)"
2017-01-25 00:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.16183471534755628,8.426120552666529,"(5.62, 4.77, 0.85)","(1.9310445901640771, 0.7719515922078433, 1.1590929979562339)"
2017-01-25 01:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13476650409743907,2.7557065618356518,"(7.83, 6.980000000000001, 0.85)","(1.2563405973085442, 0.9406701986001247, 0.3156703987084194)"
2017-01-25 02:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.08027144762401213,4.2698943113049665,"(4.719999999999999, 3.96, 0.76)","(0.5783653867442757, 0.31787493259108796, 0.2604904541531878)"
2017-01-25 03:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13258805435374776,5.378191573773936,"(8.22, 7.730000000000001, 0.49)","(1.3743167989415894, 1.0249056601544702, 0.3494111387871193)"
2017-01-25 04:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12999052551942283,8.92393301552663,"(6.23, 5.82, 0.4100000000000001)","(1.2321558229022989, 0.7565448585230408, 0.47561096437925815)"
2017-01-25 05:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1442322149905396,3.6360595532077022,"(7.19, 6.5, 0.69)","(1.2993708744442016, 0.9375093974385071, 0.3618614770056944)"
2017-01-25 06:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11249120981659613,5.374100130585839,"(2.0, 2.0, 0.0)","(0.22498241963319224, 0.22498241963319224, 0.0)"
2017-01-25 07:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.15805347702442088,9.376080108987535,"(1.1899999999999997, 1.1899999999999997, 0.0)","(0.18808363765906078, 0.18808363765906078, 0.0)"
2017-01-25 08:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1352168748875473,5.004178099994556,"(4.86, 4.86, 0.0)","(0.6571540119534798, 0.6571540119534798, 0.0)"
2017-01-25 09:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10540689024364114,5.770363636257309,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
2017-01-25 10:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12002435630236291,5.4051613418941535,"(6.49, 4.89, 1.6)","(1.6249207195525734, 0.5869191023185545, 1.038001617234019)"
2017-01-25 11:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.09845838999661823,4.775990841536805,"(6.55, 6.55, 0.0)","(0.6449024544778492, 0.6449024544778492, 0.0)"
2017-01-25 12:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13492298963649876,2.559508660872165,"(6.28, 5.25, 1.03)","(1.0640423529327636, 0.7083456955916183, 0.3556966573411454)"
2017-01-25 13:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09321122157450693,5.809901861139649,"(6.29, 6.2, 0.09)","(0.6266488982353774, 0.5779095737619429, 0.048739324473434514)"
2017-01-25 14:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10272497185655662,7.802274775556695,"(6.5, 6.42, 0.08)","(0.723613395857988, 0.6594943193190934, 0.06411907653889463)"
2017-01-25 15:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1369025223707548,12.29846798935401,"(6.99, 6.72, 0.27)","(1.37458159837188, 0.919984950331472, 0.45459664804040817)"
2017-01-25 16:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14062194393937233,18.17529408483821,"(7.16, 7.01, 0.15)","(1.3691366048969584, 0.9857598270149998, 0.38337677788195856)"
2017-01-25 17:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1636334819975784,3.222597054991248,"(9.24, 7.65, 1.59)","(2.090242533003016, 1.2517961372814745, 0.8384463957215416)"
2017-01-25 18:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12084442309126472,10.592734604079832,"(2.7800000000000002, 2.7800000000000002, 0.0)","(0.33594749619371594, 0.33594749619371594, 0.0)"
2017-01-25 19:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09341842571296247,6.585283018315505,"(2.8000000000000003, 1.45, 1.35)","(0.9659588600850049, 0.13545671728379555, 0.8305021428012093)"
2017-01-25 20:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.12227017505694734,5.457132845102492,"(8.35, 6.02, 2.33)","(2.290746344534521, 0.7360664538428229, 1.5546798906916979)"
2017-01-25 21:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14824691126755712,4.7023061261109715,"(7.7, 6.2, 1.5)","(1.9647843884045493, 0.9191308498588541, 1.045653538545695)"
2017-01-25 22:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10199573414128599,5.6836991366081415,"(8.950000000000001, 8.42, 0.53)","(1.1660520064901945, 0.858804081469628, 0.3072479250205665)"
2017-01-25 23:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1315347917533938,5.05174784608757,"(10.22, 8.65, 1.57)","(2.181010492120337, 1.1377759486668562, 1.043234543453481)"
2017-01-26 00:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.15022897495224324,3.628447736450567,"(9.84, 9.730000000000002, 0.11)","(1.5216887045379501, 1.4617279262853269, 0.059960778252623144)"
2017-01-26 01:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11316666226108196,3.6332527118918487,"(6.58, 4.07, 2.51)","(1.492607652617724, 0.4605883154026036, 1.0320193372151205)"
2017-01-26 02:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13158340551056336,3.1539381839308067,"(8.560000000000002, 6.16, 2.4)","(1.806568002772471, 0.8105537779450701, 0.9960142248274009)"
2017-01-26 03:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12095840016291033,4.66460927760791,"(5.66, 4.89, 0.77)","(1.0259388070121132, 0.5914865767966314, 0.43445223021548174)"
2017-01-26 04:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12785219872931375,3.9234888970979487,"(9.15, 7.01, 2.1400000000000006)","(1.9697250129662982, 0.8962439130924892, 1.0734810998738091)"
2017-01-26 05:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1117802442875019,4.662873150853475,"(8.480000000000002, 6.37, 2.1099999999999994)","(1.8118082368667006, 0.712040156111387, 1.0997680807553136)"
2017-01-26 06:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14885940546012494,4.727118927409775,"(10.97, 9.1, 1.8700000000000003)","(2.670494921134624, 1.3546205896871366, 1.3158743314474872)"
2017-01-26 07:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1677080746846179,5.754199848150497,"(6.18, 5.82, 0.36)","(1.3234702747026585, 0.976060994664476, 0.34740928003818256)"
2017-01-26 08:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1372166479285064,3.45842603662529,"(13.03, 9.33, 3.7)","(3.0360797482342154, 1.2802313251729645, 1.755848423061251)"
2017-01-26 09:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14214237670134205,2.555498106483248,"(14.25, 10.77, 3.48)","(2.794964516372806, 1.5308733970734536, 1.2640911192993523)"
2017-01-26 10:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.08280311094032164,4.7636911316631005,"(10.99, 8.019999999999998, 2.97)","(1.8355928321651414, 0.6640809497413792, 1.1715118824237623)"
2017-01-26 11:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.12961272611606692,7.407642263978509,"(10.82, 8.99, 1.83)","(2.9222466232895736, 1.1652184077834413, 1.7570282155061323)"
2017-01-26 12:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.14562459727109772,3.1025102160298137,"(13.09, 10.620000000000003, 2.47)","(2.6624836708439137, 1.5465332230190578, 1.1159504478248556)"
2017-01-26 13:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.08042136260221289,6.158575233224255,"(9.08, 6.63, 2.45)","(1.7466321133158034, 0.5331936340526714, 1.213438479263132)"
2017-01-26 14:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09545399429546987,5.091100169982097,"(9.4, 6.52, 2.88)","(2.021941680965897, 0.6223600428064634, 1.3995816381594337)"
2017-01-26 15:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.07357363416721742,5.569696821821797,"(10.15, 7.54, 2.61)","(1.6242784046014085, 0.5547452016208192, 1.0695332029805893)"
2017-01-26 16:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09832365299044878,6.84979340568408,"(12.33, 10.36, 1.97)","(2.3454215634382383, 1.0186330449810492, 1.326788518457189)"
2017-01-26 17:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1604582988954967,2.733069441010864,"(11.700000000000003, 11.700000000000003, 0.0)","(1.8773620970773115, 1.8773620970773115, 0.0)"
2017-01-26 18:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1445589187678596,5.782340423859893,"(19.66, 18.55, 1.11)","(3.609404599522964, 2.681567943143795, 0.9278366563791691)"
2017-01-26 19:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.09226917881010671,6.933808224572778,"(10.39, 9.76, 0.63)","(1.3036065634587406, 0.9005471851866413, 0.4030593782720993)"
2017-01-26 20:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10843853563428622,7.839266185187853,"(6.860000000000001, 4.9, 1.96)","(2.1975027739235324, 0.5313488246080025, 1.6661539493155297)"
2017-01-26 21:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11532536675230476,6.36702133947554,"(12.51, 11.4, 1.11)","(2.1297589498914657, 1.314709180976274, 0.8150497689151918)"
2017-01-26 22:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11520970721321136,6.9297904090951326,"(12.02, 9.980000000000002, 2.04)","(2.778486291112621, 1.1497928779878495, 1.6286934131247714)"
2017-01-26 23:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1065556983531354,5.030397337422945,"(8.66, 6.58, 2.08)","(1.8160528978319688, 0.7011364951636309, 1.1149164026683378)"
2017-01-27 00:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12068735580581991,7.29041696563989,"(5.54, 3.82, 1.72)","(1.9743868708227756, 0.461025699178232, 1.5133611716445436)"
2017-01-27 01:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11393655197331577,3.309972976979069,"(7.560000000000001, 4.469999999999999, 3.09)","(1.6746185334172266, 0.5092963873207214, 1.165322146096505)"
2017-01-27 02:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11694123816417837,6.321207614025075,"(5.33, 5.33, 0.0)","(0.6232967994150707, 0.6232967994150707, 0.0)"
2017-01-27 03:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11013235180788633,6.806938167318395,"(5.98, 5.98, 0.0)","(0.6585914638111602, 0.6585914638111602, 0.0)"
2017-01-27 04:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12975825053633616,10.593527152085624,"(8.58, 7.22, 1.36)","(2.806307237231123, 0.9368545688723469, 1.8694526683587762)"
2017-01-27 05:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.17209023551716576,4.989450851004983,"(7.9, 6.71, 1.1899999999999997)","(2.1765020490605984, 1.154725480320182, 1.0217765687404166)"
2017-01-27 06:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1400459813514143,5.449664098249185,"(2.49, 2.49, 0.0)","(0.34871449356502154, 0.34871449356502154, 0.0)"
2017-01-27 07:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12435504526725068,4.512450963459244,"(0.25, 0.25, 0.0)","(0.031088761316812666, 0.031088761316812666, 0.0)"
2017-01-27 08:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.11358679711002864,18.442032795359545,"(3.6, 3.6, 0.0)","(0.40891246959610306, 0.40891246959610306, 0.0)"
2017-01-27 09:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.12267855377553609,7.160159347494471,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
2017-01-27 10:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.10446254636383398,7.059395075341893,"(3.7, 3.7, 0.0)","(0.3865114215461857, 0.3865114215461857, 0.0)"
2017-01-27 11:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.0969954239095961,7.681593849921652,"(0.04, 0.04, 0.0)","(0.0038798169563838436, 0.0038798169563838436, 0.0)"
2017-01-27 12:00:00,"(0.9999999999999999, 1.0, 0.9999999999999999, 0.9999999999999997)",0.1482370591444932,4.333635863786673,"(5.37, 4.75, 0.62)","(1.1024174011638646, 0.7041260309363425, 0.398291370227522)"
2017-01-27 13:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.13614829529780603,3.5236316824663976,"(5.8, 5.8, 0.0)","(0.7896601127272748, 0.7896601127272748, 0.0)"
2017-01-27 14:00:00,"(0.9999999999999999, 1.0, 1.0, 0.9999999999999997)",0.1203079179338007,11.692558147268574,"(5.63, 5.63, 0.0)","(0.6773335779672979, 0.6773335779672979, 0.0)"
