Preliminary Synchronized Reserve Summary 
Month:,"August, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:23:19 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
08/02/2017 15,08/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,110100.226016,365.159580966,1243.268815,560.71,2055.15,608.534005750,783.772490621,.00,.000,80.100,.000,.000,.000,.00,608.534003836
08/02/2017 16,08/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.42,109985.219015,320.027056981,1139.401684,2006.68,.00,528.792013728,720.968803688,.00,.000,80.100,.000,.000,.000,.00,528.792012015
08/02/2017 17,08/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),1.26,109537.451051,357.137206379,1067.167604,1684.70,.00,582.919032960,679.454311358,.00,.000,109.560,.000,.000,.000,.00,582.919031267
08/02/2017 18,08/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,107963.978935,331.007382672,1122.003887,1871.86,.00,533.282973533,715.556297396,.00,.000,79.900,.000,.000,.000,.00,533.282971833
08/02/2017 19,08/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),1.16,104837.342000,354.156273490,1028.255801,1417.56,.00,567.574014888,655.672481057,.00,.000,112.957,.000,.000,.000,.00,567.574014888
08/02/2017 20,08/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,100721.144049,357.142345021,1051.048847,1955.92,.00,574.392015110,674.207102908,.00,.000,116.384,.000,.000,.000,.00,574.392015110
08/02/2017 21,08/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,97555.733934,367.132563644,1189.229079,1955.48,.00,598.650002511,767.113522615,.00,.000,109.900,.000,.000,.000,.00,598.650000657
08/02/2017 22,08/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,94671.996017,381.929982215,1463.541476,2112.20,.00,621.382969752,953.844075977,.00,.000,89.800,.000,.000,.000,.00,621.382945848
08/02/2017 23,08/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,88419.685982,246.014722562,2045.715378,445.87,.00,405.117037121,1380.185744123,.00,.000,88.000,.000,.000,.000,.00,405.117034491
08/02/2017 24,08/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,80921.974985,11.549011462,2177.194195,.00,.00,19.433004452,1503.508359639,.00,.000,.000,.000,.000,.000,.00,19.432999564
