Preliminary Synchronized Reserve Summary 
Month:,"December, 2017" ,Report Creation Timestamp (EPT):, 01/08/2018 04:33:35 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
12/02/2017 20,12/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),30.17,76872.133990,682.453941122,353.379372,3541.08,.00,1165.125009578,275.907124311,.00,.000,654.117,.000,.000,.000,.00,1165.125009578
12/02/2017 21,12/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),11.72,76300.911994,658.252846185,409.144810,1902.60,.00,1127.617022204,316.195795751,.00,.000,305.100,269.000,.000,.000,.00,1127.617022204
12/02/2017 22,12/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),7.06,74771.380004,616.498146951,420.147767,1475.95,523.95,1066.599015350,343.699182318,.00,.000,364.599,215.200,.000,.000,.00,1066.599015350
12/02/2017 23,12/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,72339.884003,481.603062632,763.520978,3810.84,.00,832.674986037,570.984772269,.00,.000,310.683,.000,.000,.000,.00,832.674986037
12/02/2017 24,12/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.06,68983.258025,272.996493355,1021.940435,749.98,.00,484.582995062,761.383745409,.00,.000,211.891,.000,.000,.000,.00,484.582995062
12/03/2017 01,12/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),2.32,66087.342056,340.037962448,794.825658,307.25,.00,599.616992956,616.813570959,.00,.000,240.134,.000,.000,.000,.00,599.616992956
12/03/2017 02,12/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64155.007984,219.419986665,1032.109883,633.26,.00,388.540984814,762.851541462,.00,.000,182.941,.000,.000,.000,.00,388.540960804
12/03/2017 03,12/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,63142.093023,304.651804664,997.125742,614.60,.00,537.100030145,751.660049395,.00,.000,183.500,.000,.000,.000,.00,537.100030145
12/03/2017 04,12/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,62814.075992,219.960523336,1101.919166,642.65,.00,388.099989454,814.907311841,.00,.000,182.500,.000,.000,.000,.00,388.099989454
12/03/2017 05,12/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.67,63157.766007,320.593138589,930.254390,354.28,57.50,557.428042222,698.362076060,.00,.000,187.041,14.512,.000,.000,.00,557.428017457
