Preliminary Synchronized Reserve Summary 
Month:,"May, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:20:00 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
05/03/2017 01,05/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58886.281973,15.620145431,1730.721723,.00,.00,25.400048131,1152.877152702,.00,.000,.000,.000,.000,.000,.00,25.400048131
05/03/2017 02,05/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56556.856939,15.426664097,1729.247453,.00,.00,24.500102677,1122.681199900,.00,.000,.000,.000,.000,.000,.00,24.500004862
05/03/2017 03,05/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55280.139000,16.100443438,2051.785459,.00,.00,25.400130134,1327.807856782,.00,.000,.000,.000,.000,.000,.00,25.400015017
05/03/2017 04,05/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55094.656943,.063320632,2147.390325,.00,.00,.100011083,1401.807464862,.00,.000,.000,.000,.000,.000,.00,.100008865
05/03/2017 05,05/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56059.859965,.062335065,1690.306399,.00,.00,.100024151,1123.481098772,.00,.000,.000,.000,.000,.000,.00,.100022368
05/03/2017 06,05/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),2.88,59622.621050,49.625684785,1255.269981,341.74,.00,78.549162568,802.097808133,.00,.000,39.958,.000,.000,.000,.00,78.549003466
05/03/2017 07,05/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),5.14,65706.210011,302.330423103,824.044673,354.44,.00,487.510017486,523.788441560,9179.19,.000,144.984,.000,.000,.000,.00,487.510017486
05/03/2017 08,05/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),1.25,69549.225009,295.126364269,1068.587718,406.40,.00,486.723052691,704.454629302,2356.99,.000,113.448,.000,.000,.000,.00,486.722983383
05/03/2017 09,05/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),9.20,70937.077013,505.145515731,500.011415,612.43,.00,817.422995498,322.282248670,.00,.000,175.591,.000,.000,.000,.00,817.422995498
05/03/2017 10,05/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),1.25,71235.656948,482.164180475,717.373343,2593.31,.00,773.476004433,479.629043772,.00,.000,110.484,.000,.000,.000,.00,773.476004433
