Preliminary Synchronized Reserve Summary 
Month:,"September, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:27:03 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
09/02/2017 17,09/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64160.347012,9.055719470,2397.437258,.00,.00,15.900016462,1604.306115339,.00,.000,.000,.000,.000,.000,.00,15.900016462
09/02/2017 18,09/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64555.795899,49.929657329,2163.357142,2.23,.00,89.300022769,1487.124998215,.00,.000,72.400,.000,.000,.000,.00,89.300022769
09/02/2017 19,09/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,64610.469031,7.088093496,2114.351330,.00,.00,12.900052118,1460.203685003,.00,.000,.000,.000,.000,.000,.00,12.900052118
09/02/2017 20,09/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,65180.326985,7.027059465,1694.265888,.00,.00,12.900091488,1155.248973428,.00,.000,.000,.000,.000,.000,.00,12.900091488
09/02/2017 21,09/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),.16,66202.559938,54.254169482,1377.286218,.00,.00,96.999974510,939.659462566,.00,.000,80.100,.000,.000,.000,.00,96.999974510
09/02/2017 22,09/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.50,64761.394032,101.017047398,1385.235896,131.20,.00,178.900022924,958.346461045,.00,.000,96.000,.000,.000,.000,.00,178.900022924
09/02/2017 23,09/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,61929.743974,228.690162346,1373.099175,924.09,.00,396.999959011,955.768781318,.00,.000,181.600,.000,.000,.000,.00,396.999959011
09/02/2017 24,09/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.23,58476.281023,187.312449041,1538.521410,632.27,.00,327.999978714,1088.389116527,.00,.000,199.600,.000,.000,.000,.00,327.999978714
09/03/2017 01,09/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.55,55202.305067,11.477265338,1503.429822,16.48,.00,20.315980007,1050.615082420,.00,.000,.000,.000,.000,.000,.00,20.315980007
09/03/2017 02,09/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),2.44,52979.695008,18.425023027,1314.958209,62.68,.00,32.175063443,907.351441541,.00,.000,1.717,.000,.000,.000,.00,32.175034915
