Preliminary Synchronized Reserve Summary 
Month:,"February, 2017" ,Report Creation Timestamp (EPT):, 07/03/2017 11:21:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
02/02/2017 11,02/02/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,86491.075021,113.302283053,2215.160350,190.95,.00,182.533095913,1490.771718218,.00,.000,30.100,.000,.000,.000,.00,182.533006749
02/02/2017 12,02/02/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,85195.808049,6.517848304,2025.691171,.00,.00,10.700116306,1335.451444080,.00,.000,.000,.000,.000,.000,.00,10.700041479
02/02/2017 13,02/02/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,84156.350075,5.498175948,1811.000000,.00,.00,9.200104818,1251.510251702,.00,.000,.000,.000,.000,.000,.00,9.200034478
02/02/2017 14,02/02/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,83239.417019,6.448691511,2024.000000,.00,.00,10.700038540,1376.417460387,.00,.000,.000,.000,.000,.000,.00,10.700038540
02/02/2017 15,02/02/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,82138.949974,6.469657188,2141.350933,.00,.00,10.700047729,1454.581580161,.00,.000,.000,.000,.000,.000,.00,10.700047729
02/02/2017 16,02/02/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,81849.311986,6.437092839,2106.533385,.00,.00,10.700024818,1410.148047452,.00,.000,.000,.000,.000,.000,.00,10.699997394
02/02/2017 17,02/02/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,83332.908016,6.824851163,1951.083798,.00,.00,11.800010592,1309.089830038,.00,.000,.000,.000,.000,.000,.00,11.799933426
02/02/2017 18,02/02/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,87067.092011,8.205724111,1651.528525,.04,.00,14.541994775,1152.336395070,.00,.000,.000,.000,.000,.000,.00,14.541994775
02/02/2017 19,02/03/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),7.00,91381.391962,225.228029764,923.739325,587.21,.00,382.974012104,646.134747877,.00,.000,134.892,110.200,.000,.000,.00,382.974012104
02/02/2017 20,02/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),3.09,91666.578975,506.307777564,743.720465,617.87,1326.73,823.436007513,480.792985538,.00,.000,343.100,27.292,.000,.000,.00,823.435937989
02/02/2017 21,02/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,90613.760971,532.031109019,730.350755,1758.39,2267.80,857.576037994,462.801870605,.00,.000,336.184,.000,.000,.000,.00,857.576020134
02/02/2017 22,02/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),.59,88303.641966,540.005876636,855.661940,1359.74,2121.60,872.442003092,564.063460123,.00,.000,326.800,.000,.000,.000,.00,872.442003092
02/02/2017 23,02/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,84078.293034,376.901768665,1135.268750,949.53,775.35,620.347054643,755.581991039,.00,.000,132.233,206.000,.000,.000,.00,620.347010928
02/02/2017 24,02/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.64,79850.008047,182.446954967,1456.337050,71.06,3786.98,302.464160157,977.428909900,.00,.000,14.659,.000,.000,.000,.00,302.463998532
02/03/2017 01,02/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77150.526148,79.538330302,1594.600358,135.14,.00,131.700162916,1069.036645364,.00,.000,30.000,.000,.000,.000,.00,131.699998009
02/03/2017 02,02/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75700.696001,214.612038163,1811.536374,542.33,.00,355.400097015,1221.078841141,.00,.000,30.000,.000,.000,.000,.00,355.400037369
02/03/2017 03,02/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75221.644039,5.554581598,2217.235395,.00,.00,9.300194977,1487.762159202,.00,.000,.000,.000,.000,.000,.00,9.300006167
02/03/2017 04,02/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75486.657012,4.414418695,1815.157989,.00,.00,7.400032698,1212.859946228,.00,.000,.000,.000,.000,.000,.00,7.400032698
02/03/2017 05,02/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,77209.556026,3.407735153,1465.323951,.00,.00,5.700028925,963.012737979,.00,.000,.000,.000,.000,.000,.00,5.700028925
02/03/2017 06,02/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,81407.560032,3.863860510,1739.998012,.00,.00,6.532944671,1135.711391016,.00,.000,.000,.000,.000,.000,.00,6.532944671
02/03/2017 07,02/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),.13,88855.963019,24.362747316,1564.444846,.00,.00,42.599305351,1059.026678284,.00,.000,.000,.000,.000,.000,.00,43.200033776
02/03/2017 08,02/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),3.96,93213.438092,212.763767554,940.481933,846.59,.00,354.826032291,621.000920191,.00,.000,158.159,.000,.000,.000,.00,354.826017197
02/03/2017 09,02/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.06,93363.847034,314.744605214,1080.760287,1283.46,.00,515.416001086,694.898498050,.00,.000,297.900,.000,.000,.000,.00,515.415982889
02/03/2017 10,02/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),1.62,92776.643955,306.519503892,928.231250,585.95,.00,506.700025696,582.186357074,.00,.000,297.900,.000,.000,.000,.00,506.700025696
02/03/2017 11,02/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),3.75,92029.664963,418.201176633,750.900000,774.23,.00,689.558015507,478.103687469,.00,.000,418.316,.000,.000,.000,.00,689.558015507
