Preliminary Synchronized Reserve Summary 
Month:,"October, 2017" ,Report Creation Timestamp (EPT):, 01/05/2018 12:31:31 PM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
10/03/2017 01,10/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,58703.124990,54.609230759,2278.641208,.00,.00,89.499978169,1579.492590710,.00,.000,.000,.000,.000,.000,.00,89.499978169
10/03/2017 02,10/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,56197.302931,54.775037100,2443.563834,.00,.00,90.399909302,1712.437881747,.00,.000,.000,.000,.000,.000,.00,90.399909302
10/03/2017 03,10/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,54812.042973,53.881321873,2650.749529,.00,.00,89.500056702,1865.369506989,.00,.000,.000,.000,.000,.000,.00,89.500002526
10/03/2017 04,10/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,54376.765985,.059927090,2658.299061,.00,.00,.100083227,1867.660301775,.00,.000,.000,.000,.000,.000,.00,.100083227
10/03/2017 05,10/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,55126.380069,.058711800,1992.356841,.00,.00,.100102228,1414.955529691,.00,.000,.000,.000,.000,.000,.00,.100102228
10/03/2017 06,10/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.18,58670.512015,50.107983729,1343.208531,.00,.00,85.999994511,944.213242752,.00,.000,.000,.000,.000,.000,.00,85.999994511
10/03/2017 07,10/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),10.64,65615.079968,256.552431553,965.594503,373.21,.00,437.568013570,683.147468456,.00,.000,83.432,77.724,.000,.000,.00,437.568013570
10/03/2017 08,10/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),12.41,69868.016002,533.275666260,593.881884,112.72,.00,899.983015623,463.816707076,.00,.000,323.916,.000,.000,.000,.00,899.983015623
10/03/2017 09,10/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),5.27,70942.285018,460.490063813,725.780089,966.71,.00,763.533020694,526.340988200,.00,.000,308.966,.000,.000,.000,.00,763.533020694
10/03/2017 10,10/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.36,71904.437009,489.928755746,662.579828,3067.77,.00,816.900028983,501.396708945,.00,.000,187.100,.000,.000,.000,.00,816.900006814
10/03/2017 11,10/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),5.08,73615.544997,570.875524694,544.866324,2229.23,.00,953.698997853,448.385682433,.00,.000,366.350,.000,.000,.000,.00,953.698997853
10/03/2017 12,10/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),1.44,74862.236050,656.292663716,502.269930,5224.45,.00,1082.257986193,413.211861510,.00,.000,408.000,.000,.000,.000,.00,1082.257986193
10/03/2017 13,10/03/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,75918.940928,728.108638815,656.265234,13631.42,.00,1188.600034730,522.347533597,.00,.000,649.100,.000,.000,.000,.00,1188.600009182
