Preliminary Synchronized Reserve Summary 
Month:,"March, 2017" ,Report Creation Timestamp (EPT):, 11/03/2017 11:13:56 AM
EPT Hour Ending,GMT Hour Ending,Synch Reserve Zone,Subzone,SRMCP ($/MWh),Total Reserve Zone Load (MWh),Total Subzone Above Obligation Tier 1 Adjustment (MWh),Total Subzone Tier 1 Excess (MWh),Total Subzone Lost Opportunity Cost Credit Cleared ($),Total Subzone Lost Opportunity Credit Added ($),Total Subzone Synch Reserve Purchases (MWh),Total Subzone Tier 1 Allocation to Obligation (MWh),Total Subzone Tier 1 Credit ($),Total Subzone Tier 1 Lost (MWh),Total Subzone Tier 2 PJM-Scheduled MWh,Total Subzone Tier 2 PJM-Added MWh,Total Subzone Tier 2 Self-Scheduled MWh,Total Subzone Tier 2 Shortfall (MWh),Total Subzone Tier 2 Retroactive Penalty Charge ($),Total Subzone Tier 2 Retroactive Obligation (MWh)
03/02/2017 20,03/03/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),6.12,86087.185012,507.975978275,465.825857,1529.41,.00,857.566096246,361.304341447,.00,.000,128.840,.000,.000,.000,.00,857.566000450
03/02/2017 21,03/03/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),25.49,85221.205995,743.374005384,136.100838,417.56,.00,1213.223995624,106.791695762,.00,.000,416.876,172.866,.000,.000,.00,1213.223979151
03/02/2017 22,03/03/2017 03,RTO,Non PJM Mid Atlantic Dominion (MAD),12.39,82549.358998,816.823894821,290.297560,1374.74,.00,1306.204077511,204.737624357,.00,.000,701.489,.000,.000,.000,.00,1306.204018374
03/02/2017 23,03/03/2017 04,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,78447.488043,565.965973967,843.057225,6690.01,.00,902.716992006,575.744828395,.00,.000,546.767,.000,.000,.000,.00,902.716968355
03/02/2017 24,03/03/2017 05,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,74065.432989,501.748287502,1425.723755,4427.06,.00,793.800044017,937.153407701,.00,.000,225.600,.000,.000,.000,.00,793.800014324
03/03/2017 01,03/03/2017 06,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71246.565029,260.077710277,1433.540217,582.73,.00,411.899999544,947.768076513,.00,.000,60.000,.000,.000,.000,.00,411.899972751
03/03/2017 02,03/03/2017 07,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69679.543021,242.672694485,1366.250602,482.57,.00,395.000004435,961.389434146,.00,.000,30.000,.000,.000,.000,.00,395.000004435
03/03/2017 03,03/03/2017 08,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69357.437981,111.749736187,1460.773092,118.94,.00,182.099962183,1009.657761922,.00,.000,30.000,.000,.000,.000,.00,182.099962183
03/03/2017 04,03/03/2017 09,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,69471.948937,201.175124111,1453.956778,293.25,.00,327.800092704,1002.082048738,.00,.000,30.000,.000,.000,.000,.00,327.800037117
03/03/2017 05,03/03/2017 10,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,71125.132008,135.870188366,1490.033880,149.56,.00,226.200024832,994.875730726,.00,.000,30.100,.000,.000,.000,.00,226.199999407
03/03/2017 06,03/03/2017 11,RTO,Non PJM Mid Atlantic Dominion (MAD),1.31,46835.357133,71.507008515,638.794287,95.02,.00,71.507008515,676.099992980,.00,.000,71.507,.000,.000,.000,.00,71.507008515
03/03/2017 07,03/03/2017 12,RTO,Non PJM Mid Atlantic Dominion (MAD),1.00,83169.868080,425.455091649,701.762361,3064.89,.00,734.243007113,555.934258803,.00,.000,66.059,.000,.000,.000,.00,734.243007113
03/03/2017 08,03/03/2017 13,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,86231.485892,594.251984924,767.371866,5598.02,.00,970.733013415,514.670619829,.00,.000,61.933,.000,.000,.000,.00,970.733011607
03/03/2017 09,03/03/2017 14,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,85603.891037,598.284974202,968.957020,5472.42,.00,966.067136160,643.946854841,.00,.000,61.967,.000,.000,.000,.00,966.067019802
03/03/2017 10,03/03/2017 15,RTO,Non PJM Mid Atlantic Dominion (MAD),1.67,84998.549987,584.944851662,829.889016,3786.03,.00,939.700019405,572.682763788,.00,.000,61.933,.000,.000,.000,.00,939.700019405
03/03/2017 11,03/03/2017 16,RTO,Non PJM Mid Atlantic Dominion (MAD),3.99,84484.168993,530.921225868,602.515818,1387.27,.00,843.518006819,407.464615259,.00,.000,89.225,.000,.000,.000,.00,843.517988896
03/03/2017 12,03/03/2017 17,RTO,Non PJM Mid Atlantic Dominion (MAD),3.50,83753.378036,549.803959083,585.334091,1199.07,804.52,874.405016339,395.162851302,.00,.000,61.035,.000,.000,.000,.00,874.404998259
03/03/2017 13,03/03/2017 18,RTO,Non PJM Mid Atlantic Dominion (MAD),.52,82770.349928,488.102102976,890.606603,3470.20,.00,802.034002638,616.899032518,.00,.000,36.750,.000,.000,.000,.00,802.034002638
03/03/2017 14,03/03/2017 19,RTO,Non PJM Mid Atlantic Dominion (MAD),1.81,82216.927009,480.394692638,631.849648,2799.98,.00,802.791997330,471.752292401,.00,.000,40.475,.000,.000,.000,.00,802.791997330
03/03/2017 15,03/03/2017 20,RTO,Non PJM Mid Atlantic Dominion (MAD),.58,81367.953996,469.553522034,577.785000,3726.79,.00,789.316062275,435.931596357,.00,.000,71.983,.000,.000,.000,.00,789.315990769
03/03/2017 16,03/03/2017 21,RTO,Non PJM Mid Atlantic Dominion (MAD),.29,80564.381026,439.982136395,758.157293,3707.01,.00,755.849974096,570.967937065,.00,.000,37.583,.000,.000,.000,.00,755.849974096
03/03/2017 17,03/03/2017 22,RTO,Non PJM Mid Atlantic Dominion (MAD),1.71,81092.214041,439.369014679,602.820423,2849.77,.00,750.516024847,465.784479018,.00,.000,45.316,.000,.000,.000,.00,750.516024847
03/03/2017 18,03/03/2017 23,RTO,Non PJM Mid Atlantic Dominion (MAD),.00,83009.779039,445.897775520,654.634400,4229.31,.00,781.508008466,514.438188263,.00,.000,32.208,.000,.000,.000,.00,781.507970018
03/03/2017 19,03/04/2017 00,RTO,Non PJM Mid Atlantic Dominion (MAD),7.16,86676.602969,508.948102782,483.251800,834.05,93.13,877.767023794,362.618265474,.00,.000,56.767,.000,.000,.000,.00,877.767006183
03/03/2017 20,03/04/2017 01,RTO,Non PJM Mid Atlantic Dominion (MAD),19.88,88155.268980,666.966062031,256.450630,2921.62,.00,1120.699003526,171.271858415,.00,.000,193.391,.000,.000,.000,.00,1120.698988172
03/03/2017 21,03/04/2017 02,RTO,Non PJM Mid Atlantic Dominion (MAD),19.46,87372.383018,753.096392005,125.881176,6389.89,.00,1255.849028297,84.306132408,.00,.000,260.665,.000,.000,.000,.00,1255.849013001
