,8/1/2017,8/2/2017
16:10:02,-0.999950553,-0.747539036
16:10:04,-0.999950458,-0.746031903
16:10:06,-0.999950267,-0.744613579
16:10:08,-0.999950077,-0.743265894
16:10:10,-0.999949886,-0.742011259
16:10:12,-0.999949696,-0.740859624
16:10:14,-0.999949505,-0.7398035
16:10:16,-0.99994941,-0.738784816
16:10:18,-0.999949219,-0.737776605
16:10:20,-0.999949029,-0.736808557
16:10:22,-0.999948838,-0.735855066
16:10:24,-0.999948648,-0.734896862
16:10:26,-0.999948457,-0.733884828
16:10:28,-0.999948362,-0.732744608
16:10:30,-0.999948171,-0.731480705
16:10:32,-0.999947981,-0.730140979
16:10:34,-0.99994779,-0.728817381
16:10:36,-0.9999476,-0.72758631
16:10:38,-0.999947505,-0.72648819
16:10:40,-0.999947314,-0.725462699
16:10:42,-0.999947123,-0.725333622
16:10:44,-0.999946933,-0.72372349
16:10:46,-0.999946742,-0.722748739
16:10:48,-0.999946552,-0.721918774
16:10:50,-0.999946457,-0.721091742
16:10:52,-0.999946266,-0.72025963
16:10:54,-0.999946075,-0.719400341
16:10:56,-0.999945885,-0.719290639
16:10:58,-0.999945694,-0.71787242
16:11:00,-0.999945599,-0.717052352
16:11:02,-0.999945409,-0.716292816
16:11:04,-0.999945218,-0.715492908
16:11:06,-0.999945028,-0.714716196
16:11:08,-0.999944837,-0.71397593
16:11:10,-0.999944646,-0.713280645
16:11:12,-0.999944551,-0.712576353
16:11:14,-0.999944361,-0.711864049
16:11:16,-0.99994417,-0.711771103
16:11:18,-0.99994398,-0.710442007
16:11:20,-0.999943789,-0.710243392
16:11:22,-0.999943599,-0.709483594
16:11:24,-0.999943503,-0.707576036
16:11:26,-0.999943313,-0.706287051
16:11:28,-0.999943122,-0.705044669
16:11:30,-0.999942932,-0.703620218
16:11:32,-0.999942741,-0.702067791
16:11:34,-0.999942646,-0.700379375
16:11:36,-0.999942455,-0.698539785
16:11:38,-0.999942265,-0.696611962
16:11:40,-0.999942074,-0.694432218
16:11:42,-0.999941884,-0.692284624
16:11:44,-0.999941693,-0.690301662
16:11:46,-0.999941598,-0.688458773
16:11:48,-0.999941407,-0.686773185
16:11:50,-0.999941217,-0.685284798
16:11:52,-0.999941026,-0.68397492
16:11:54,-0.999940836,-0.682820143
16:11:56,-0.999940741,-0.682679965
16:11:58,-0.99994055,-0.681175293
16:12:00,-0.999940359,-0.680368368
16:12:02,-0.999940169,-0.679827294
16:12:04,-0.999939978,-0.679450013
16:12:06,-0.999939788,-0.679222336
16:12:08,-0.999939693,-0.679083781
16:12:10,-0.999939502,-0.678975598
16:12:12,-0.999939312,-0.678828822
16:12:14,-0.999939121,-0.678580618
16:12:16,-0.99993893,-0.678222136
16:12:18,-0.99993874,-0.677733478
16:12:20,-0.999938645,-0.677103019
16:12:22,-0.999938454,-0.676372335
16:12:24,-0.999938264,-0.675503621
16:12:26,-0.999938073,-0.674505045
16:12:28,-0.999937883,-0.673348906
16:12:30,-0.999937787,-0.672028136
16:12:32,-0.999937597,-0.670593579
16:12:34,-0.999937406,-0.669057123
16:12:36,-0.999937216,-0.66743568
16:12:38,-0.999937025,-0.665565667
16:12:40,-0.999936835,-0.663464834
16:12:42,-0.999936739,-0.661105115
16:12:44,-0.999936549,-0.658432419
16:12:46,-0.999936358,-0.655545554
16:12:48,-0.999936168,-0.652530503
16:12:50,-0.999935977,-0.649445547
16:12:52,-0.999935882,-0.646373891
16:12:54,-0.999935691,-0.643351247
16:12:56,-0.999935501,-0.642956634
16:12:58,-0.99993531,-0.637878766
16:13:00,-0.99993512,-0.634668137
16:13:02,-0.999934929,-0.631987167
16:13:04,-0.999934834,-0.629435221
16:13:06,-0.999934643,-0.627010047
16:13:08,-0.999934453,-0.624625246
16:13:10,-0.999934262,-0.624311325
16:13:12,-0.999934072,-0.620180351
16:13:14,-0.999933881,-0.617518284
16:13:16,-0.999933786,-0.615191607
16:13:18,-0.999933596,-0.612814555
16:13:20,-0.999933405,-0.612516449
16:13:22,-0.999933215,-0.60817581
16:13:24,-0.999933024,-0.605117507
16:13:26,-0.999932929,-0.602288085
16:13:28,-0.999932738,-0.599378285
16:13:30,-0.999932548,-0.596399051
16:13:32,-0.999932357,-0.595997893
16:13:34,-0.999932167,-0.590593956
16:13:36,-0.999931976,-0.586839477
16:13:38,-0.999931881,-0.586363701
16:13:40,-0.99993169,-0.579676905
16:13:42,-0.9999315,-0.57514472
16:13:44,-0.999931309,-0.571133554
16:13:46,-0.999931119,-0.567132966
16:13:48,-0.999931023,-0.563145101
16:13:50,-0.999930833,-0.56262979
16:13:52,-0.999930642,-0.555521048
16:13:54,-0.999930452,-0.550850937
16:13:56,-0.999930261,-0.550297976
16:13:58,-0.999930071,-0.543066912
16:14:00,-0.999929975,-0.541962247
16:14:02,-0.999929785,-0.534624623
16:14:04,-0.999929594,-0.529779564
16:14:06,-0.999929404,-0.52541421
16:14:08,-0.999929213,-0.521042625
16:14:10,-0.999929023,-0.516671667
16:14:12,-0.999928928,-0.512261176
16:14:14,-0.999928737,-0.507709511
16:14:16,-0.999928547,-0.503101451
16:14:18,-0.999928356,-0.498242726
16:14:20,-0.999928165,-0.493330799
16:14:22,-0.99992807,-0.488328283
16:14:24,-0.99992788,-0.483399338
16:14:26,-0.999927689,-0.482682321
16:14:28,-0.999927499,-0.482524749
16:14:30,-0.999927308,-0.478052367
16:14:32,-0.999837086,-0.47288919
16:14:34,-0.999380071,-0.467781135
16:14:36,-0.998484522,-0.462589254
16:14:38,-0.997014489,-0.457449498
16:14:40,-0.994885847,-0.452250611
16:14:42,-0.992038386,-0.446985536
16:14:44,-0.988524313,-0.441740405
16:14:46,-0.984466816,-0.436499479
16:14:48,-0.979799776,-0.431274479
16:14:50,-0.972944363,-0.426057608
16:14:52,-0.964688564,-0.420699511
16:14:54,-0.955361637,-0.415342699
16:14:56,-0.945231954,-0.414661276
16:14:58,-0.934605061,-0.405343854
16:15:00,-0.923616047,-0.399331571
16:15:02,-0.912054077,-0.39403713
16:15:04,-0.90007111,-0.388785328
16:15:06,-0.887615318,-0.383548791
16:15:08,-0.874749854,-0.37840233
16:15:10,-0.861407385,-0.373247463
16:15:12,-0.847444041,-0.368104493
16:15:14,-0.832982721,-0.362978418
16:15:16,-0.818137846,-0.357874373
16:15:18,-0.80280965,-0.352833351
16:15:20,-0.787194474,-0.347822737
16:15:22,-0.771039595,-0.342849309
16:15:24,-0.754706946,-0.337807955
16:15:26,-0.738245546,-0.332683091
16:15:28,-0.721663253,-0.327470198
16:15:30,-0.704912738,-0.32209303
16:15:32,-0.687932035,-0.321422259
16:15:34,-0.670764131,-0.311965851
16:15:36,-0.653480861,-0.305576214
16:15:38,-0.63604826,-0.29983903
16:15:40,-0.618933882,-0.294024346
16:15:42,-0.601901191,-0.287950286
16:15:44,-0.585033373,-0.281856339
16:15:46,-0.568499056,-0.275588126
16:15:48,-0.552095123,-0.269212665
16:15:50,-0.535920084,-0.262774065
16:15:52,-0.51995298,-0.256293067
16:15:54,-0.504349193,-0.249843457
16:15:56,-0.489031415,-0.248985435
16:15:58,-0.474058568,-0.237725379
16:16:00,-0.459675309,-0.230205417
16:16:02,-0.445892068,-0.223520692
16:16:04,-0.432628145,-0.216831168
16:16:06,-0.419787233,-0.209934325
16:16:08,-0.407291061,-0.203005791
16:16:10,-0.395132675,-0.196355113
16:16:12,-0.383334869,-0.189523734
16:16:14,-0.372031484,-0.18257743
16:16:16,-0.360873663,-0.175533808
16:16:18,-0.350125557,-0.168367287
16:16:20,-0.339800169,-0.167463524
16:16:22,-0.329939894,-0.154822259
16:16:24,-0.32075971,-0.146846399
16:16:26,-0.31183948,-0.13971596
16:16:28,-0.304204965,-0.132579027
16:16:30,-0.298161442,-0.125496415
16:16:32,-0.293597873,-0.118348404
16:16:34,-0.290355511,-0.111216522
16:16:36,-0.28811592,-0.104100139
16:16:38,-0.28687652,-0.097029283
16:16:40,-0.286478213,-0.090059562
16:16:42,-0.286823536,-0.083283863
16:16:44,-0.287728523,-0.07666499
16:16:46,-0.28909919,-0.070233723
16:16:48,-0.290958262,-0.063972167
16:16:50,-0.293369944,-0.057317091
16:16:52,-0.296295559,-0.050806037
16:16:54,-0.299685471,-0.044448377
16:16:56,-0.303355309,-0.043597794
16:16:58,-0.307312265,-0.032903724
16:17:00,-0.311624582,-0.026270077
16:17:02,-0.31628196,-0.020539613
16:17:04,-0.321188158,-0.015075012
16:17:06,-0.326251858,-0.00985181
16:17:08,-0.331376625,-0.004881857
16:17:10,-0.336437901,-0.000193919
16:17:12,-0.34135669,0.004300684
16:17:14,-0.346073125,0.008553996
16:17:16,-0.350659658,0.012515294
16:17:18,-0.355025591,0.016408896
16:17:20,-0.359092138,0.016908986
16:17:22,-0.36291859,0.020110291
16:17:24,-0.3665528,0.026483295
16:17:26,-0.370050868,0.030145568
16:17:28,-0.373408412,0.03326348
16:17:30,-0.376579988,0.036311212
16:17:32,-0.379489012,0.039189908
16:17:34,-0.382187144,0.041899771
16:17:36,-0.384805653,0.044374037
16:17:38,-0.387474963,0.046621892
16:17:40,-0.390375016,0.048726915
16:17:42,-0.393524721,0.050774879
16:17:44,-0.396910874,0.052799729
16:17:46,-0.400575914,0.054748135
16:17:48,-0.404487129,0.056573346
16:17:50,-0.408661049,0.058348509
16:17:52,-0.413068091,0.060055357
16:17:54,-0.41776075,0.061613642
16:17:56,-0.422746114,0.06180525
16:17:58,-0.428057545,0.064092909
16:18:00,-0.433714325,0.065399231
16:18:02,-0.439627188,0.066523342
16:18:04,-0.445655562,0.067692936
16:18:06,-0.451705603,0.068848811
16:18:08,-0.45783977,0.069946389
16:18:10,-0.463934065,0.070981769
16:18:12,-0.469955238,0.0719297
16:18:14,-0.475755002,0.072844264
16:18:16,-0.481270386,0.073811029
16:18:18,-0.486403403,0.074890709
16:18:20,-0.491237321,0.076078861
16:18:22,-0.495835733,0.077386816
16:18:24,-0.50015305,0.078771733
16:18:26,-0.504151166,0.080216209
16:18:28,-0.507814506,0.08171364
16:18:30,-0.511232764,0.083308876
16:18:32,-0.514565611,0.084986497
16:18:34,-0.517797805,0.086736236
16:18:36,-0.520973552,0.088532354
16:18:38,-0.523990388,0.090186552
16:18:40,-0.526694123,0.091660517
16:18:42,-0.529063413,0.092964321
16:18:44,-0.531233352,0.094171498
16:18:46,-0.533251812,0.095319728
16:18:48,-0.535158187,0.096415055
16:18:50,-0.536869545,0.097453283
16:18:52,-0.53851641,0.098416748
16:18:54,-0.540069525,0.099296939
16:18:56,-0.541513319,0.09941215
16:18:58,-0.542834644,0.100605782
16:19:00,-0.544008254,0.100776995
16:19:02,-0.545177248,0.101231172
16:19:04,-0.546430121,0.101953604
